"","mem","trans","desc","date_diff","date_var","amt","cat","discret","sub","pred"
"1000524411246510.1","1000524411246510","100052441900534049","pospurchaseposdollartreewilmingtonde","1.5",1.72,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000524411246510.2","1000524411246510","100052441947291559","pospurchaseposkohlswilmingtonde","0.86",0,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000524411246510.3","1000524411246510","100052441879801041","pospurchaseposshopritewilmistantonde","0.7",0.34,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.4","1000524411246510","100052441877233489","pospurchaseposwawamarshalltonde","0.73",0.71,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.5","1000524411246510","100052441894921748","pospurchasepospremierwinewilmingtonde","2.21",2.95,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.6","1000524411246510","100052441844323194","debitcardpurchasecityofnewarkpkngnewarkde","2",2,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.7","1000524411246510","100052441836947908","debitcardpurchaseaplitunescombillca","9.43",0,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.8","1000524411246510","100052441877233485","achcreditstateofdelawardirdep","1.94",0.02,0,"Other Income",FALSE,FALSE,"Valid"
"1000524411246510.9","1000524411246510","100052441836948210","atmwithdrawalpncpankirkwoodhwywilmingtonde","4",0,0,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000524411246510.10","1000524411246510","100052441900534035","debitcardpurchasejamesstreettavernwilmingtonde","4.15",19.79,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000524411246510.11","1000524411246510","100052442023625076","debitcardpurchasehibachisteakhousennewarkde","0",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.12","1000524411246510","100052441900534046","debitcardpurchasemilburnorchardselktonmd","0",0,0,"Groceries",TRUE,FALSE,"Invalid"
"1000524411246510.13","1000524411246510","100052441896337787","debitcardpurchasemoesswgrillwilmingtonde","8.15",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000524411246510.14","1000524411246510","100052441994168644","pospurchasepospetcowilmingtonde","1.29",1.01,0,"Pets/Pet Care",TRUE,FALSE,"Invalid"
"1000524411246510.15","1000524411246510","100052441877233491","onlinetransferto","0.69",0.37,0,"Transfers",FALSE,FALSE,"Invalid"
"1000524411246510.16","1000524411246510","100052442006613751","pospurchaseposwalgreenswilmingtonde","2.43",0,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.1","1000564012245885","100056405756547036","littlecaesarsleingtonky","3",16.33,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.2","1000564012245885","100056405756547025","shelloilleingtonky","0.62",1.46,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.3","1000564012245885","100056405756547026","shellservicesleingtonky","1.37",2.04,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.4","1000564012245885","100056405763804995","amazonmktplaceamzncombillwa","1.06",1.5,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.5","1000564012245885","100056405763804992","eperiancrca","4.43",0.04,0,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.6","1000564012245885","100056405769484212","timewarnerswohonlinepmtpos","4.47",0.59,0,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564012245885.7","1000564012245885","100056405776913094","amazonserviceswa","1.43",1.84,0,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.8","1000564012245885","100056405795043415","cvsbeavercreekoh","1.98",1.86,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.9","1000564012245885","100056405817851704","aafeswrightpatteroh","1.09",1.01,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.10","1000564012245885","100056405817851707","vzwirelessvevzwwebpay","4.34",0.29,0,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012245885.11","1000564012245885","100056405825111874","wendysleingtonky","2.54",9,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.12","1000564012245885","100056405830316207","aafesarmyachpymt","5.14",8.61,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.13","1000564012245885","100056405836220796","bestbuypayment","4.38",0.51,0,"Electronics",TRUE,FALSE,"Invalid"
"1000564012245885.14","1000564012245885","100056405856853566","giantfairbornoh","1.18",0.21,0,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564012245885.15","1000564012245885","100056405856853564","lowesfairbornoh","1.94",1.6,0,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.16","1000564012245885","100056405859243695","tmobilehandsetwa","13.01",0,0,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012245885.17","1000564012245885","100056405896008202","directvpayment","4.5",0.26,0,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564012245885.18","1000564012245885","100056405927408375","victoriassecretonlinepmtpos","13.29",0,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.19","1000564012245885","100056405953468466","kohlsonlinepmtpos","3",0,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.20","1000564012245885","100056405747493035","usaaloanpmtto","4.36",0.12,0,"Loans",FALSE,FALSE,"Valid"
"1000564012245885.21","1000564012245885","100056405756547028","papajohnsky","4.36",3.67,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.22","1000564012245885","100056405756547027","speedwayleleingtonky","0.95",1.19,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.23","1000564012245885","100056405747493034","usaapcautopay","4.36",0.12,0,"Insurance",FALSE,FALSE,"Valid"
"1000564012245885.24","1000564012245885","100056405763804999","chaseepay","5.62",8.35,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.25","1000564012245885","100056405763804998","wrightpattersonwrightpatteroh","1.69",0.51,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.26","1000564012245885","100056405769484207","wrightpatsycamorwrightpatteroh","1.32",1.03,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.27","1000564012245885","100056405771553133","","11.01",0,0,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564012245885.28","1000564012245885","100056405769484211","healthnetfedca","5.86",1.5,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.29","1000564012245885","100056405769484202","papajohnsoh","3.64",3.17,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.30","1000564012245885","100056405788551553","giantdaytonoh","1.41",1.99,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.31","1000564012245885","100056405795043411","wriafartscrwpafboh","2.86",0,0,"Hobbies",TRUE,FALSE,"Invalid"
"1000564012245885.32","1000564012245885","100056405795043423","check","0.55",0.28,0,"Checks",FALSE,FALSE,"Invalid"
"1000564012245885.33","1000564012245885","100056405810390222","payroll","1.46",0.87,0,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012245885.34","1000564012245885","100056405804517142","usaafundstransfercr","0.95",0.48,0,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.35","1000564012245885","100056405802135760","usaafundstransferdb","0.77",0.46,0,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.36","1000564012245885","100056405811118626","krogerfairbornoh","2.8",4.55,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.37","1000564012245885","100056405825111889","lglefayurbgovky","7",18.04,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.38","1000564012245885","100056405825111892","kentuckyutilitiwebpymts","3.57",0.75,0,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.39","1000564012245885","100056405825111872","tobaccohutleingtonky","0.92",0.7,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.40","1000564012245885","100056405817851705","bobevansrestfairbornoh","1.5",0.5,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.41","1000564012245885","100056405825111873","marathonpetrofairbornoh","0",0,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.42","1000564012245885","100056405817851703","speedwayfairbornoh","2.5",0.26,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.43","1000564012245885","100056405825111890","wscwindstreamar","3.5",1,0,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012245885.44","1000564012245885","100056405830316206","ohioedisonfeecheck","4.72",1.01,0,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.45","1000564012245885","100056405836220789","areaabldgwpafboh","1.02",0.87,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.46","1000564012245885","100056405839052389","atmsurchargerebatesr","3.25",1.53,0,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564012245885.47","1000564012245885","100056405839052390","interestpaidgt","2.12",0.21,0,"Interest",FALSE,FALSE,"Invalid"
"1000564012245885.48","1000564012245885","100056405859243692","krogerleingtonky","3.64",6.97,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.49","1000564012245885","100056405802135756","dfasclevelandfedsalary","0.93",1.04,0,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012245885.50","1000564012245885","100056405878465208","teasroadhousefairbornoh","5.72",2.63,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.51","1000564012245885","100056405890954190","elderbeermanbeavercreekoh","1.43",0,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.52","1000564012245885","100056405890954186","elderbeefairfiebeavercreekoh","0",0,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.53","1000564012245885","100056405896007741","dfasclevelandretnet","4.34",0.05,0,"Retirement Income",FALSE,FALSE,"Valid"
"1000564012245885.54","1000564012245885","100056405896007749","usdeptofedonlinepmtpos","4.38",0.43,0,"Deposits",FALSE,FALSE,"Invalid"
"1000564012245885.55","1000564012245885","100056405913925592","buckeyediscounbeavercreekoh","1.64",0.61,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.56","1000564012245885","100056405913719436","patchenpubleingtonky","3.86",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.57","1000564012245885","100056405918629522","wpafbbaserestwpafboh","1.72",0.54,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.58","1000564012245885","100056405927408371","ruralkingeniaoh","1.14",0,0,"Home Maintenance",TRUE,FALSE,"Invalid"
"1000564012245885.59","1000564012245885","100056405927408378","barclaycarduscreditcard","5",23.55,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.60","1000564012245885","100056405972493225","sirpizzarichmleingtonky","4.22",26.58,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.61","1000564012245885","100056405966589961","usaacompaymntcreditcrd","3.95",11.29,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.62","1000564012245885","100056406010273091","cnsriteaidcoarlingtonva","0.14",0,0,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.63","1000564012245885","100056406034096933","capitaloneonlinepmt","3.05",7.3,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.64","1000564012245885","100056406035550960","speedwayleingtonky","1.43",0,0,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.65","1000564012245885","100056406035550964","walmartleingtonky","1.04",3.92,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.66","1000564012245885","100056406043671520","orccservicefenj","7.86",0,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.67","1000564012245885","100056406043671524","americanwaterva","7.86",0,0,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.68","1000564012245885","100056406077094486","redbodvdrenil","4.57",0,0,"Entertainment",TRUE,FALSE,"Invalid"
"1000564012245885.69","1000564012245885","100056406092481976","panerabreadbeavercreekoh","8.14",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.70","1000564012245885","100056406110489498","bobevansrestbeavercreekoh","0",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.71","1000564012245885","100056406110489951","redrobinnobeavercreekoh","7",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.72","1000564012245885","100056406144063897","targettbeavercreekoh","1.21",0.09,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.73","1000564012245885","100056406157298165","progdirectinsinspremimot","4",0,0,"Insurance",FALSE,FALSE,"Invalid"
"1000564012245885.74","1000564012245885","100056406164986528","usbankusbanleingtonky","1.79",2.95,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.75","1000564012245885","100056406184878236","qdobameicangleingtonky","2",8,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.76","1000564012245885","100056406184878244","sonicdriveinleingtonky","0",0,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.77","1000564012245885","100056406187847226","paypalfoamnca","0",0,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000564012245885.78","1000564012245885","100056406254456456","kmartspringborooh","2",0,0,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.79","1000564012245885","100056406254456452","krogerspringborooh","2.29",0,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.80","1000564012245885","100056406271788303","realiantpropertach","3.86",0,0,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.81","1000564012245885","100056406318082848","franklinbpfranklinoh","0.54",0.41,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.82","1000564012245885","100056406318083253","aroadbuildingwpafboh","0.57",0,0,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.83","1000564012245885","100056406318083256","themenswearhobeavercreekoh","0.36",0.09,0,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.84","1000564012245885","100056406332704734","lowesmiddletownoh","0.79",1.23,0,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.85","1000564012245885","100056406354432642","hunterigaeprfranklinoh","0",0,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.86","1000564012245885","100056406368021274","menardsmiamimiamisburgoh","0",0,0,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.87","1000564012245885","100056406435404253","sunrisealachuafl","0",0,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012603379.1","1000564012603379","100056405813678006","southerncalgasonlinepmtpos","4.29",0,0,"Utilities",FALSE,FALSE,"Invalid"
"1000564012603379.2","1000564012603379","100056405746185121","usaafundstransfercr","2.95",2.38,0,"Transfers",FALSE,FALSE,"Invalid"
"1000564012603379.3","1000564012603379","100056405750098275","usaafundstransferdb","2.95",2.38,0,"Transfers",FALSE,FALSE,"Invalid"
"1000564012603379.4","1000564012603379","100056405746185123","usaacompaymntcreditcrd","0.4",0.16,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.5","1000564012603379","100056405764458807","","1.95",1.2,0,"Deposits",FALSE,FALSE,"Invalid"
"1000564012603379.6","1000564012603379","100056405770174931","payroll","1.98",0,0,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012603379.7","1000564012603379","100056405798839473","check","1.52",1.77,0,"Checks",FALSE,FALSE,"Invalid"
"1000564012603379.8","1000564012603379","100056405813678005","aliciapkwylagunahillsca","1.57",0,0,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012603379.9","1000564012603379","100056405878314349","scaedisononlinepmtpos","4.29",0.04,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.10","1000564012603379","100056405889521881","sunwestmortgagmortgage","8.15",0,0,"Mortgages",FALSE,FALSE,"Invalid"
"1000564012603379.11","1000564012603379","100056405899842327","moultonniguelonlinepmtpos","5.15",0,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.12","1000564012603379","100056405800819605","interestpaidgt","2.23",0.55,0,"Interest",FALSE,FALSE,"Invalid"
"1000564012603379.13","1000564012603379","100056405800819604","atmsurchargerebatesr","4.14",0,0,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564014717730.1","1000564014717730","100056405831653093","atmsurchargerebatesr","2.81",5.93,0,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
